City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,college,64.8569,-147.8028,13.58,90,75,1.54,US,1722245831
120,nsanje,-16.92,35.262,36.04,10,0,1.03,MW,1722245832
121,nyurba,63.2842,118.3319,16.24,94,98,4.68,RU,1722245832
122,taoudenni,22.6783,-3.9836,42.51,11,71,6.01,ML,1722245832
123,chonchi,-42.6128,-73.8092,1.18,92,100,0.7,CL,1722245833
124,west island,-12.1568,96.8225,28.99,65,6,4.63,CC,1722245833
125,cruzeiro do sul,-29.5128,-51.9853,11.96,95,100,2.31,BR,1722245833
126,graaff-reinet,-32.2522,24.5308,10.51,45,0,3.3,ZA,1722245834
127,moree,-29.4667,149.85,5.96,62,0,4.2,AU,1722245834
128,klyuchi,52.2667,79.1667,27.4,32,17,3.98,RU,1722245834
129,mount isa,-20.7333,139.5,17.87,29,4,3.09,AU,1722245834
130,saipan,15.1355,145.701,29.39,74,0,2.57,MP,1722245835
131,elliot lake,46.3834,-82.6331,15.89,94,42,1.67,CA,1722245836
132,ribeira grande,38.5167,-28.7,25.99,88,20,1.54,PT,1722245836
133,riberalta,-10.9833,-66.1,19.7,51,2,0.82,BO,1722245836
134,remire-montjoly,4.9167,-52.2667,25.02,88,0,0.0,GF,1722245836
135,nederland,29.9744,-93.9924,27.02,94,0,2.57,US,1722245577
136,tazovsky,67.4667,78.7,24.72,45,13,5.66,RU,1722245837
137,ushuaia,-54.8,-68.3,-0.19,80,40,3.09,AR,1722245837
138,oranjestad,12.524,-70.027,27.97,80,20,5.66,AW,1722245838
139,inongo,-1.95,18.2667,26.43,47,26,0.72,CD,1722245838
140,swift current,50.2834,-107.8014,14.45,62,0,4.63,CA,1722245838
141,teotitlan,18.1319,-97.0767,18.62,91,82,0.99,MX,1722245839
142,georgetown,5.4112,100.3354,31.97,55,20,4.63,MY,1722245839
143,mili,6.0815,171.735,26.86,80,100,4.19,MH,1722245839
144,filey,54.21,-0.2892,23.83,64,21,2.24,GB,1722245840
145,mitsamiouli,-11.3847,43.2844,26.02,61,2,0.73,KM,1722245840
146,hermanus,-34.4187,19.2345,12.67,63,58,9.48,ZA,1722245840
147,castillos,-34.1667,-53.8333,4.29,66,0,2.32,UY,1722245840
148,alenquer,-1.9417,-54.7383,23.32,73,76,1.42,BR,1722245841
149,shingu,33.7333,135.9833,29.49,66,100,2.34,JP,1722245841
150,hatillo,18.4863,-66.8254,25.6,85,100,2.75,PR,1722245842
151,lihue,21.9789,-159.3672,24.77,81,75,5.66,US,1722245842
152,auburn,47.3073,-122.2284,16.97,87,100,2.57,US,1722245843
153,hoi an,15.8794,108.335,31.98,75,93,2.33,VN,1722245843
154,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,1.0,RU,1722245618
155,keflavik,64.0049,-22.5624,10.95,93,75,9.26,IS,1722245844
156,ilulissat,69.2167,-51.1,7.01,70,75,5.14,GL,1722245844
157,dryden,49.7833,-92.7503,18.16,82,20,2.06,CA,1722245844
158,infantes,38.7367,-3.0122,27.23,24,96,4.07,ES,1722245845
159,abra pampa,-22.7205,-65.697,3.06,82,30,5.02,AR,1722245845
160,sisimiut,66.9395,-53.6735,4.62,89,100,12.47,GL,1722245845
161,chibougamau,49.9168,-74.3659,17.79,72,0,2.57,CA,1722245846
162,kirakira,-10.4544,161.9205,24.93,78,76,3.67,SB,1722245846
163,afaahiti,-17.75,-149.2833,25.93,81,10,8.49,PF,1722245846
164,tiksi,71.6872,128.8694,3.02,89,100,5.14,RU,1722245847
165,palikir - national government center,6.9248,158.1611,26.41,89,40,0.0,FM,1722245847
166,porto barra do ivinheima,-22.9667,-53.6667,17.18,55,2,1.58,BR,1722245847
167,puerto ayora,-0.7393,-90.3518,19.19,91,79,3.53,EC,1722245847
168,arvayheer,46.2639,102.775,26.16,29,64,3.51,MN,1722245848
169,sao joao da barra,-21.6403,-41.0511,19.05,64,0,4.85,BR,1722245848
170,monte argentario,42.4345,11.1195,32.89,39,0,2.06,IT,1722245848
171,i-n-salah,27.1935,2.4607,42.46,11,2,10.88,DZ,1722245849
172,kristiansund,63.1115,7.732,17.03,81,75,1.54,NO,1722245849
173,fortuna foothills,32.6578,-114.4119,30.12,17,0,2.57,US,1722245849
174,port douglas,-16.4833,145.4667,20.89,73,96,5.81,AU,1722245627
175,serhetabat,35.2799,62.3438,40.16,13,0,11.37,TM,1722245850
176,pachino,36.7186,15.0907,27.56,59,0,2.57,IT,1722245850
177,kiboga,0.9161,31.7742,29.4,40,26,0.95,UG,1722245851
178,wenatchee,47.4235,-120.3103,20.21,61,37,3.15,US,1722245851
179,kingston,17.997,-76.7936,28.53,74,20,3.09,JM,1722245851
180,huanan,46.2167,130.5167,23.66,87,100,1.85,CN,1722245851
181,les cayes,18.2,-73.75,26.17,85,100,2.46,HT,1722245852
182,santa terezinha,-29.9002,-50.0904,14.04,90,100,7.15,BR,1722245852
183,gwanda,-20.9333,29.0,25.55,7,0,2.94,ZW,1722245852
184,louisville,38.2542,-85.7594,23.01,95,100,3.09,US,1722245853
185,wajir,1.7471,40.0573,30.98,42,40,4.12,KE,1722245853
186,khandyga,62.6667,135.6,17.1,71,100,0.29,RU,1722245853
187,isangel,-19.55,169.2667,21.86,72,65,2.27,VU,1722245854
188,alesund,62.4723,6.1549,17.83,72,40,1.54,NO,1722245854
189,nogliki,51.8333,143.1667,12.77,91,100,3.49,RU,1722245854
190,barkot,30.8167,78.2,26.69,81,65,1.84,IN,1722245855
191,nikolayevsk-on-amure,53.1406,140.73,10.99,91,100,1.73,RU,1722245855
192,rio grande,-32.035,-52.0986,9.97,62,97,7.71,BR,1722245855
193,inirida,3.8653,-67.9239,22.22,99,98,1.06,CO,1722245856
194,tolanaro,-25.0319,46.9987,26.04,57,0,2.06,MG,1722245856
195,mount pearl,47.5166,-52.7813,20.18,86,20,9.77,CA,1722245856
196,pauini,-7.7136,-66.9764,20.11,61,6,0.91,BR,1722245857
197,labrador city,52.9463,-66.9114,20.1,69,0,5.36,CA,1722245857
198,al jawf,29.5,38.75,37.4,11,0,5.84,SA,1722245857
199,kapuskasing,49.4169,-82.4331,18.05,82,40,3.09,CA,1722245858
200,rustington,50.8103,-0.5067,24.63,59,20,5.14,GB,1722245858
201,tambura,5.6,27.4667,29.01,57,86,2.27,SS,1722245858
202,enewetak,11.3474,162.3373,28.01,77,29,3.25,MH,1722245858
203,hailey,43.5196,-114.3153,14.96,55,0,4.12,US,1722245859
204,saint-laurent-du-maroni,5.5039,-54.0289,21.95,95,21,1.03,GF,1722245859
205,hamilton,39.1834,-84.5333,23.46,93,100,2.06,US,1722245277
206,yuzhno-kurilsk,44.0306,145.8556,16.02,99,100,7.72,RU,1722245860
207,nuuk,64.1835,-51.7216,4.34,81,100,16.99,GL,1722245860
208,meadow lakes,61.6247,-149.6011,11.99,95,100,0.0,US,1722245860
209,al kharijah,25.4514,30.5464,38.22,15,30,2.97,EG,1722245861
210,bel ombre,-4.6167,55.4167,28.91,70,40,6.17,SC,1722245861
211,kodinsk,58.6881,99.1844,28.45,45,18,3.58,RU,1722245861
